,0,1,2,3,4,5,6,7,8,9,10
0,2001,(2015),电影,东莞女孩 ,方义华 / 董振业,解惠清 / 刘之冰 / 方青卓 / 茹萍 / 李歌 / 李卫东 / 梁辰羽,剧情,中国大陆,高清,2015-09-11(中国大陆),豆瓣：3.7 
1,2002,(2016),音乐,芈月传主题曲《满月》 - 娜宝儿 ,娜宝儿,娜宝儿,神曲 / 音乐 / YY ,大陆中国,YY神曲,2016-01-21,豆瓣：8.7 
2,2003,(2016),音乐,别丢下我不管 - 林娉 ,林娉,林娉,神曲 / 音乐 / YY ,大陆中国,YY神曲,2016-01-21,豆瓣：5.3 
3,2004,(2016),音乐,夜色舞蹈版 - 【隐】丶大灵i   礼物要亲嘴~~~ ,【隐】丶大灵i   礼物要亲嘴~~~,【隐】丶大灵i   礼物要亲嘴~~~,神曲 / 音乐 / YY ,大陆中国,YY神曲,2016-01-21,豆瓣：1.8 
4,2005,(2016),音乐,贼拉拉的爱你 - 小麻人儿 ,小麻人儿,小麻人儿,神曲 / 音乐 / YY ,大陆中国,YY神曲,2016-01-21,豆瓣：5.6 
5,2006,(2016),音乐,神曲【哭啥】 - 糖小西 ,糖小西,糖小西,神曲 / 音乐 / YY ,大陆中国,YY神曲,2016-01-21,豆瓣：4.0 
6,2007,(2016),音乐,将军与妓 - 以可 ,以可,以可,神曲 / 音乐 / YY ,大陆中国,YY神曲,2016-01-21,豆瓣：2.4 
7,2008,(2016),音乐,Young - 6451叶子 ,6451叶子,6451叶子,神曲 / 音乐 / YY ,大陆中国,YY神曲,2016-01-21,豆瓣：1.5 
8,2009,(2016),福利,【福利】这大长腿，准备补充营养 ,天天福利,天天福利,虎牙 / 福利 / 美女 / 搞笑,大陆中国,虎牙,2016-01-19,豆瓣：6.7 
9,2010,(2016),福利,【福利】这个视频有亮点 ,天天福利,天天福利,虎牙 / 福利 / 美女 / 搞笑,大陆中国,虎牙,2016-01-20,豆瓣：1.6 
10,2011,(2016),福利,柳岩男人装写真拍摄花絮养眼神器么么哒 ,天纵高洁,天纵高洁,虎牙 / 福利 / 美女 / 搞笑,大陆中国,虎牙,2016-01-20,豆瓣：4.5 
11,2012,(2008),电影,嫁妆一牛车 嫁妝一牛車 ,张美君,陆小芬 / 陈震雷 / 金涂,喜剧 / 爱情,台湾,高清,2008-10-20,豆瓣：7.4 
12,2013,(1995),电影,霹雳火 霹靂火 ,陈嘉上,成龙 / 袁咏仪 / 王敏德  / 黄子华 / Thorsten Nickel / 文颂娴 / 加山维三 / 泽田谦也 / 楚原 / 元奎 / 钱嘉乐,动作,香港,高清国粤语,1995-08-05,豆瓣：6.7 
13,2014,(1973),电影,[恐怖胆小者禁止入内]驱魔人 The Exorcist ,威廉·弗莱德金,艾伦·伯斯汀 / 马克斯·冯·叙多 / 李·科布 / 琳达·布莱尔 / 杰森·米勒,恐怖,美国,高清中字,1973-12-26,豆瓣：7.6 
14,2015,(2004),电影,[恐怖胆小者禁止入内]驱魔人前传 Exorcist: The Beginning ,雷尼·哈林,斯特兰·斯卡斯加德 / 伊沙贝拉·斯科鲁普科 / 詹姆斯·达西,惊悚 / 恐怖,美国,高清中字,2004-08-20,豆瓣：6.6 
15,2016,(2013),电影,[2013年乐事微电影]谁是你的菜 ,韦正,张国立 / 罗志祥 / Angelababy / 黄渤,喜剧 / 广告 / 搞笑,中国大陆,高清,2013-07-01,豆瓣：5.6 
16,2017,(2016),电影,移魂俱乐部 ,田键,闫德生 / 李欣芮 / 闻超,悬疑 / 惊悚,中国大陆,高清,2016-01-21,豆瓣：3.0 
17,2018,(2016),电影,爱夜蒲之备胎上位 ,吉米,王修泽 / 艾米其 / 颜敬杰 / 陈熙文 / 石峯 / 金小小,爱情 / 情色,中国大陆,高清,2016-01-20,豆瓣：5.0 
18,2019,(2000),电影,入侵脑细胞 The Cell ,塔西姆·辛,詹妮弗·洛佩兹 / 文斯·沃恩 / 文森特·多诺费奥 / 玛丽安娜·琼-巴普蒂斯特,剧情 / 科幻 / 惊悚 / 恐怖 / 奇幻,美国 / 德国,高清中字,2000-08-17(美国),豆瓣：7.3 
19,2020,(2012),电影,被解救的姜戈 Django Unchained ,昆汀·塔伦蒂诺,杰米·福克斯 / 莱昂纳多·迪卡普里奥 / 克里斯托弗·沃尔兹 / 塞缪尔·杰克逊 / 凯丽·华盛顿 / 沃尔顿·戈金斯 / 丹尼斯·克里斯托弗 / 乔纳·希尔 / 詹姆斯·瑞马尔 / 爱波·塔布琳 / 弗兰科·尼罗 / 罗伯特·卡拉丁 / 佐伊·贝尔,剧情 / 动作 / 西部 / 冒险,美国,高清中字,2013-05-12(中国大陆) / 2012-12-25(美国),豆瓣：8.5 
20,2021,(2012),电影,孙子从美国来 ,曲江涛,罗京民 / 丁佳明 / 刘天佐,剧情 / 家庭 / 儿童,中国大陆,高清,2012-02-02(中国大陆),豆瓣：8.3 
21,2022,(2015),电影,局内人 내부자들 ,禹民镐,李秉宪 / 曹承佑 / 白允植 / 李璟荣 / 赵在允 / 裴成宇 / 金大明 / 金弘波,剧情 / 犯罪,韩国,高清中字,2015-11-19(韩国) / 2015-12-31(导演剪辑版),豆瓣：7.4 
22,2023,(2011),综合,把乐带回家 ,徐佩侃,古天乐 / 张国立 / 杨幂 / 周迅,广告 / 喜剧,香港,5集已完结,2011-12-21,豆瓣：5.6 
23,2024,(2016),电影,开心鬼大师之开心过大年 ,姜远,李俊杰 / 彭波,喜剧 / 搞笑,中国大陆,高清,2016-01-20,豆瓣：3.2 
