,0,1,2,3,4,5,6,7,8,9,10
0,1,(2015),电影,夏洛特烦恼 ,闫非 / 彭大魔,沈腾 / 马丽 / 尹正 / 艾伦 / 王智 / 田雨 / 宋阳 / 常远 / 李萍 / 李立群 / 张一鸣,喜剧 / 爱情,中国大陆,高清,2015-09-30(中国大陆),豆瓣：8.0 
1,2,(2015),电影,火星救援 The Martian ,雷德利·斯科特,马特·达蒙 / 杰西卡·查斯坦 / 克里斯汀·韦格 / 杰夫·丹尼尔斯 / 迈克尔·佩纳 / 凯特·玛拉 / 肖恩·宾 / 塞巴斯蒂安·斯坦 / 阿卡塞尔·亨涅 / 切瓦特·埃加福特 / 陈数 / 本德里克特·王 / 麦肯兹·戴维斯 / 唐纳德·格洛弗 /,剧情 / 科幻 / 冒险,美国,高清中字,2015-11-25(中国大陆) / 2015-10-02(美国),豆瓣：8.4 
2,3,(2015),电视剧,蜀山战纪第2季 ,黄伟杰,赵丽颖 / 陈伟霆 / 吴奇隆 / 叶祖新 / 刘思彤 / 樊少皇 / 文咏珊 / 高伟光 / 张天霖 / 贾晓晨 / 吴华新 / 宗峰岩,言情剧 / 武侠剧 / 古装剧,大陆,10集已完结,2015-10-20,豆瓣：6.0 
3,4,(2015),电影,港囧 ,徐峥,徐峥 / 赵薇 / 包贝尔 / 杜鹃 / 葛民辉 / 李璨琛 / 潘虹 / 赵有亮 / 朱媛媛 / 王迅 / 冯勉恒 / 王晶 / 叶竞生 / 林晓峰 / 车保罗 / 苑琼丹 / 林雪 / 江约诚 / 郑丹瑞 / 田启文 / 吴耀汉 / 林路迪 / 詹瑞文,喜剧,中国大陆,高清,2015-09-25(中国大陆),豆瓣：6.1 
4,5,(2015),电影,九层妖塔 ,陆川,赵又廷 / 姚晨 / 凤小岳 / 李晨 / 唐嫣 / 冯瓅 / 李光洁 / 王庆祥 / 吴军 / 王德顺,动作 / 惊悚 / 冒险,中国大陆,高清DVD,2015-09-30(中国大陆),豆瓣：4.6 
5,6,(2015),电影,煎饼侠 ,董成鹏,董成鹏 / 袁姗姗 / 柳岩 / 吴君如 / 曾志伟 / 岳云鹏 / 衣云鹤 / 梁超 / 潘斌龙 / 崔志佳 / 乔杉 / 郭采洁 / 邓超 / 尚格·云顿 / 小沈阳 / 宋小宝 / 刘晓光 / 王小利 / 陈思诚 / 林更新 / 陈羽凡 / 胡海泉,喜剧,中国大陆,高清,2015-07-17(中国大陆),豆瓣：6.5 
6,7,(2015),电影,蚁人 Ant-Man ,佩顿·里德,保罗·路德 / 迈克尔·道格拉斯 / 伊万杰琳·莉莉 / 寇瑞·斯托尔 / 迈克尔·佩纳 / 大卫·达斯马齐连 / 朱迪·格雷尔 / 鲍比·坎纳瓦尔 / 约翰·斯拉特里 / 伍德·哈里斯 / T.I. / 海莉·阿特维尔 / 瓦内萨·罗斯 / 马丁·唐文,动作 / 科幻 / 冒险,美国,高清中字DVD,2015-10-16(中国大陆) / 2015-07-17(美国),豆瓣：8.0 
7,8,(2015),电影,女间谍 Spy ,保罗·费格,梅丽莎·麦卡西 / 杰森·斯坦森 / 裘德·洛 / 萝丝·拜恩 / 莫蕾娜·巴卡林 / 李威尹 / 艾莉森·珍妮 / 鲍比·坎纳瓦尔 / 50分 / 彼得·塞拉菲诺威茨 / 卡洛斯·庞丝 / 扎克·伍兹 / 杰西卡·查芬 / 米兰达·哈特 / 艾丽西娅·维,喜剧 / 动作 / 犯罪,美国,高清中字,2015-05-21(澳大利亚) / 2015-06-05(美国),豆瓣：7.6 
8,9,(2015),电影,小飞侠：幻梦启航 Pan ,乔·赖特,休·杰克曼 / 莱维·米勒 / 加内特·赫德兰 / 鲁妮·玛拉 / 阿曼达·塞弗里德 / 阿迪勒·阿赫塔尔 / 卡拉·迪瓦伊 / 侬索·阿诺斯 / 凯西·伯克 / 罗泰柱 / 杰克·查尔斯 / 布隆森·韦伯 / 吉米·维 / 斯宾塞·怀尔丁 / 布莱恩·博,奇幻 / 冒险,美国 / 英国 / 澳大利亚,超清中字,2015-10-22(中国大陆) / 2015-10-09(美国),豆瓣：6.5 
9,10,(2015),电影,代号47 Hitman: Agent 47 ,亚历山大·巴赫,鲁伯特·弗兰德 / 扎克瑞·昆图 / 塞伦·希德 / 托马斯·克莱舒曼 / 汉娜·韦尔 / 丹·巴克达尔 / 埃米里奥·瑞弗拉 / 罗夫·凯尼斯 / 米凯拉·卡斯帕 / 杨颖,动作 / 惊悚 / 犯罪,美国,高清中字,2015-08-21(美国),豆瓣：6.1 
