,0,1,2,3,4,5,6,7,8,9,10
0,901,(2015),电视剧,秦时明月 未删减版 ,李国立,陆毅 / 陈妍希 / 蒋劲夫 / 孙艺洲 / 胡冰卿 / 金晨 / 龚蓓苾 / 秦俊杰 / 耿乐 / 小小白 / 程皓枫 / 高胜武 / 王春元 / 张雷 / 丁雨辰 / 肖荣生 / 邓立民 / 刘楚恬,剧情 / 奇幻 / 武侠 / 古装,中国大陆,58集已完结,2015-11-29(中国大陆),豆瓣：4.9 
1,902,(2013),电影,僵尸世界大战 World War Z ,马克·福斯特,布拉德·皮特 / 米瑞·伊诺丝 / 马修·福克斯 / 埃里克·韦斯特 / 大卫·摩斯 / 詹姆斯·戴尔 / 伊莱耶斯·加贝尔 / 莫里兹·布雷多 / 斯特林·杰里斯 / 达妮埃拉·凯尔泰斯,动作 / 科幻 / 冒险 / 灾难,美国 / 马耳他,高清中字,2013-06-02(伦敦首映) / 2013-06-21(美国),豆瓣：7.2 
2,903,(2005),电影,暴力特快 Secuestro Express ,乔纳森·加库波维兹,卢宾·布雷兹 / Dalila Colombo / Elba Escobar,剧情 / 动作 / 惊悚 / 犯罪,Venezuela,高清中字,2005-08-05,豆瓣：6.9 
3,904,(2015),电视剧,青岛往事 ,张新建,黄渤 / 巩峥 / 刘向京 / 傅淼 / 黄小蕾 / 萨日娜 / 王绘春 / 王凯 / 瑛子 / 陈逸恒 / 黄诗佳,剧情,中国大陆,40集已完结,2015-07-30(中国大陆),豆瓣：8.1 
4,905,(2005),电影,成龙版神话 ,唐季礼,成龙 / 金喜善 / 梁家辉 / 玛丽卡·沙拉瓦特 / 孙周 / 邵兵 / 于荣光 / 谭耀文,剧情 / 喜剧 / 动作 / 奇幻 / 冒险,中国大陆 / 香港,高清国粤语,2005-09-23(中国大陆/香港) / 2005-09-15(多伦多电影节),豆瓣：6.2 
5,906,(2015),音乐,护士版천을 스커트 댄스 - 藻小胖 ,藻小胖,藻小胖,神曲 / 音乐 / YY ,大陆中国,YY神曲,2015-11-30,豆瓣：5.3 
6,907,(2015),音乐,最右 点赞  弹幕哦~ - 320程冯冯 ,320程冯冯,320程冯冯,神曲 / 音乐 / YY ,大陆中国,YY神曲,2015-11-30,豆瓣：8.8 
7,908,(2015),音乐,4607-小涩瑶  赶着马车去北京 - 小涩瑶 ,小涩瑶,小涩瑶,神曲 / 音乐 / YY ,大陆中国,YY神曲,2015-11-30,豆瓣：1.0 
8,909,(2015),音乐,殇雪 - 2736甜甜 ,2736甜甜,2736甜甜,神曲 / 音乐 / YY ,大陆中国,YY神曲,2015-11-30,豆瓣：3.8 
9,910,(2015),福利,好久不见，给你不一样的舞蹈冲击力 [心][心] ,陈怡曼,陈怡曼,微录客 / 福利 / 美女 / 搞笑,大陆中国,微录客,2015-11-27,豆瓣：6.4 
